,seed,actions
0,666,"[2, 1, 3, 3, 1, 2, 1, 2, 2, 1, 3, 2, 3, 0, 2, 0, 3, 2, 3, 1, 1, 3, 2, 3, 0, 3, 0, 0, 2, 2, 1, 3, 2, 3, 1, 3, 0]"
1,667,[]
2,668,"[3, 2, 2, 0, 3, 0, 3, 0, 3, 0, 2, 3, 2, 1, 2, 2, 1, 3, 1, 2, 1, 3, 3, 0, 2, 3, 1, 2, 2, 0, 0, 3, 0, 2, 0, 3, 2, 3, 1, 3, 1, 2, 3, 0, 2, 2, 1, 1, 3, 1, 3, 0, 2, 3, 1, 2, 2, 0, 0, 3, 0, 3, 3, 0, 2, 1, 1, 2, 3, 0, 0, 2, 3, 3, 1, 2, 2, 2, 1, 3, 1, 2, 1, 3, 3, 0, 2, 3, 1, 2, 2, 0, 0, 3, 0, 3, 3, 0, 2, 2, 0, 2, 1, 3, 3, 1, 1, 2, 3, 0, 3, 0, 2, 2, 2, 1, 3, 3, 1, 2, 1, 2, 1, 3, 3, 0, 2, 0, 0, 2, 1, 3, 2, 0, 3, 3, 1, 2, 1, 1, 2, 0, 3, 0, 3, 0, 3, 0, 2, 2, 2, 1, 1, 3, 1, 1, 3, 0, 2, 3, 1, 2, 2, 0, 3, 0, 0, 3, 1, 2, 1, 2, 0, 3, 2, 1, 3, 1, 3, 0, 2, 3, 1, 2, 2, 0, 0, 3, 0, 3, 3, 0, 2, 2, 2, 1, 3, 1, 1, 3, 0, 2, 0, 2, 1, 3, 2, 0, 3, 0, 3, 3, 1, 2, 3, 2, 1, 2, 1, 3, 1, 2, 2, 0, 3, 3, 0, 0, 3, 0, 2, 2, 2, 1, 3, 2, 3, 1, 3, 1, 2, 2, 0, 3, 0, 0, 3, 3, 1, 2, 3, 2, 0, 2, 2, 1, 0, 3, 1, 2, 1, 3, 2, 3, 1, 3, 0, 2, 3, 1, 2, 1, 2, 0, 3, 3, 0, 2, 0, 2, 0, 3, 3, 3, 1, 2, 3, 2, 0, 2, 2, 1, 1, 0, 3, 2, 3, 1, 3, 0, 3, 2, 2, 2, 1, 3, 3, 1, 2, 1, 2, 0, 3, 3, 0, 2, 0, 3, 3, 0, 2, 3, 2, 1, 2, 2, 1, 3, 3, 0, 2, 2, 0, 3, 2, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 1, 3, 3, 1, 2, 1, 2, 0, 3, 3, 0, 2, 0, 2, 0, 0, 3, 1, 3, 3, 1, 2, 1, 2, 1, 2, 0, 3, 3, 0, 3, 0, 2, 2, 1, 3, 3, 0, 2, 2, 2, 1, 3, 1, 3, 2, 0, 2, 1, 3, 3, 1, 1, 2, 0, 3, 2, 1, 2, 0, 0, 3, 2, 0, 3, 2, 1, 3, 1, 3, 0, 2, 3, 1, 2, 2, 0, 0, 3, 0, 0, 2, 1, 3, 3, 1, 3, 2, 2, 1, 2, 1, 3, 3, 0, 2, 2, 0, 3, 0, 3, 3, 1, 2, 3, 2, 0, 2, 0, 2, 1, 3, 3, 3, 1, 2, 1, 2, 2, 0, 1, 3, 3, 0, 3, 0, 2, 2, 1, 3, 3, 0, 2, 2, 0, 2, 1, 3, 1, 1]"
3,669,[]
4,670,[]
5,671,"[1, 3, 1, 3, 2, 2, 0, 3, 0, 3, 3, 1, 2, 3, 2, 1, 2, 1, 2, 3, 0, 3, 0, 3, 0, 2, 2, 2, 1, 3, 2, 3, 1, 2, 1, 1, 1, 3, 0, 2, 0, 0, 3, 3, 0, 3, 2, 2, 1, 1, 2, 3, 0, 3, 0, 2, 0, 3, 2, 3, 1, 2, 2, 1, 3, 1, 2, 1, 1, 3, 0, 2, 0, 0, 3, 3, 0, 0, 3, 2, 3, 1, 2, 2, 1, 1]"
6,672,"[2, 1, 3, 1, 0, 2, 1, 3, 1, 1]"
7,673,"[3, 3, 3, 1, 3, 3, 0, 2, 3, 2, 1, 3, 1, 2, 2, 2, 0, 0, 2, 2, 1, 3, 2, 3, 0, 3, 3, 2, 2, 1, 3, 2, 3, 1, 3, 3, 3, 0, 0, 2, 3, 2, 1, 3, 1, 2, 2, 2, 0, 3, 2, 0, 3, 2, 3, 1, 2, 1, 3, 3, 3, 0, 2, 3, 2, 1, 2, 2, 0, 3, 2, 3, 1, 3, 3, 0, 0, 2, 3, 1, 2, 3, 2, 1, 2, 2, 0, 0, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 1, 3, 2, 3, 0, 2, 0, 3, 2, 3, 1, 3, 3, 1, 2, 3, 2, 0, 2, 2, 1, 3, 2, 3, 0, 3, 3, 0, 2, 3, 2, 1, 3, 1, 2, 3, 2, 0, 0, 2, 3, 3, 1, 2, 2, 2, 1, 3]"
8,674,[]
9,675,"[1, 3, 2, 3, 1, 3, 1, 2, 2, 1, 1, 3, 0, 2, 0, 0, 3, 0, 2, 0, 3, 3, 1, 2, 1, 1, 0, 3, 2, 3, 1, 2, 2, 1, 1, 3, 0, 2, 0, 0, 3, 3, 3, 2, 2, 1, 3, 2, 2, 0, 3, 3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 3, 0, 0, 3, 2, 2, 0, 3, 3, 3]"
